"Closed Positions 
All Accounts 
as of 03/04/2026 at 08:19:41 PM"

Symbol,Quantity,$ Cost,$ Proceeds,$ Short-term G/L,$ Long-term G/L,$ Total G/L,Avg Cost,Avg Proceeds,Last,Account,Description
AAPL,2,452.48,452.78,0.00,0.30,0.30,226.24,226.39,262.52,ROTH IRA *1514,APPLE INC
MSFT,8,3389.1,"3,369.42",0.00,-19.68,-19.68,423.64,421.18,405.20,ROTH IRA *1514,MICROSOFT CORP
AMZN,6,1107.81,"1,171.01",0.00,63.20,63.20,184.63,195.17,216.82,ROTH IRA *1514,AMAZON.COM INC
NVDA,41,5204.81,"5,726.15",0.00,521.34,521.34,126.95,139.66,183.04,ROTH IRA *1514,NVIDIA CORPORATION COM
GOOGL,9,1478.72,"1,512.18",0.00,33.46,33.46,164.30,168.02,303.13,ROTH IRA *1514,ALPHABET INC CAP STKCL A
SSO,2,185.02,190.02,0.00,5.00,5.00,92.51,95.01,57.81,ROTH IRA *1514,PROSHARES ULTRA S&P500
QLD,2,219.24,226.30,0.00,7.06,7.06,109.62,113.15,68.65,ROTH IRA *1514,PROSHARES ULTRA QQQ
TQQQ,100,8529,"8,559.76",0.00,30.76,30.76,85.29,85.60,50.26,ROTH IRA *1514,PROSHARES ULTRAPRO QQQ
META,3,1480.52,"1,593.94",0.00,113.42,113.42,493.51,531.31,667.73,ROTH IRA *1514,META PLATFORMS INC CLASS A COMMON STOCK
PLTR,10,694.9,739.52,0.00,44.62,44.62,69.49,73.95,153.19,ROTH IRA *1514,PALANTIR TECHNOLOGIES INC CL A
TQQQ250117C90,1,151.67,281.33,0.00,129.66,129.66,151.67,281.33,--,ROTH IRA *1514,CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS)
TQQQ241220C85,1,93.67,25.33,0.00,-68.34,-68.34,93.67,25.33,--,ROTH IRA *1514,CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS)
NVDA,300,38407.05,"39,359.87",952.82,0.00,952.82,128.02,131.20,183.04,Individual-Trading *7545,NVIDIA CORPORATION COM
CRM,5,1155.05,"1,165.01",9.96,0.00,9.96,231.01,233.00,193.08,Individual-Trading *7545,SALESFORCE INC COM
NVDA250117C140,9,6711.09,"7,013.71",302.62,0.00,302.62,745.68,779.30,--,Individual-Trading *7545,CALL (NVDA) NVIDIA CORPORATION JAN 17 25 $140 (100 SHS)
TQQQ,100,8529.31,"8,559.76",30.45,0.00,30.45,85.29,85.60,50.26,Individual-Trading *7545,PROSHARES ULTRAPRO QQQ
TSLA,48,10326.54,"10,129.53",426.35,-623.36,-197.01,215.14,211.03,405.94,Individual-Trading *7545,TESLA INC COM
SNOW,40,10003.1,"5,103.85","-1,055.66","-3,843.59","-4,899.25",250.08,127.60,168.26,Individual-Trading *7545,SNOWFLAKE INC. COMMON STOCK
PLTR,500,30777.02,"25,380.92","-5,396.10",--,"-5,396.10",61.55,50.76,153.19,Individual-Trading *7545,PALANTIR TECHNOLOGIES INC CL A
RIVN,200,6264.66,"1,817.62",0.00,"-4,447.04","-4,447.04",31.32,9.09,14.92,Individual-Trading *7545,RIVIAN AUTOMOTIVE INC COM CL A
TSLA240621P160,1,234.68,324.32,89.64,0.00,89.64,234.68,324.32,--,Individual-Trading *7545,PUT (TSLA) TESLA INC COM JUN 21 24 $160 (100 SHS)
GOOGL250117P170,1,413.68,435.30,21.62,0.00,21.62,413.68,435.30,--,Individual-Trading *7545,PUT (GOOGL) ALPHABET INC CAP STKJAN 17 25 $170 (100 SHS)
