

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $83 (100 SHS) (Margin)", -HOOD260306C83,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $83 (100 SHS)",Margin,1.41,-5,3.25,0.11,,701.64,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS) (Margin)", -HOOD260306C84,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS)",Margin,1.09,5,3.25,0.11,,-548.36,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS) (Margin)", -HOOD260306C84,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS)",Margin,1.35,-5,3.25,0.11,,671.64,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $185 (100 SHS) (Margin)", -NVDA260306C185,"CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $185 (100 SHS)",Margin,1.5,-1,0.65,0.02,,149.33,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (GOOGL) ALPHABET INC CAP STK MAR 19 27 $290 (100 SHS) (Margin)", -GOOGL270319P290,"PUT (GOOGL) ALPHABET INC CAP STK MAR 19 27 $290 (100 SHS)",Margin,32.05,1,0.65,0.02,,-3205.67,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION MAR 19 27 $130 (100 SHS) (Margin)", -NVDA270319P130,"PUT (NVDA) NVIDIA CORPORATION MAR 19 27 $130 (100 SHS)",Margin,9.85,2,1.3,0.05,,-1971.35,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS) (Margin)", -NVDA260306C182.5,"CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS)",Margin,2.58,1,0.65,0.02,,-258.67,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS) (Margin)", -HOOD260306C84,"CALL (HOOD) ROBINHOOD MKTS INC MAR 06 26 $84 (100 SHS)",Margin,1.5,5,3.25,0.12,,-753.37,Processing,03/05/2026
03/04/2026,"YOU BOUGHT CLOSING TRANSACTION PUT (NVDA) NVIDIA CORPORATION DEC 15 28 $120 (100 SHS) (Margin)", -NVDA281215P120,"PUT (NVDA) NVIDIA CORPORATION DEC 15 28 $120 (100 SHS)",Margin,18.4,2,1.3,0.05,,-3681.35,Processing,03/05/2026
03/04/2026,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS) (Margin)", -NVDA260306C182.5,"CALL (NVDA) NVIDIA CORPORATION MAR 06 26 $182.5 (100 SHS)",Margin,2.82,-1,0.65,0.02,,281.33,Processing,03/05/2026
