

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/31/2024,"DIVIDEND RECEIVED PROSHARES ULTRAPRO QQQ (TQQQ) (Margin)",TQQQ,"PROSHARES ULTRAPRO QQQ",Margin,,0.000,,,,27.54,49798.79,
12/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,174.53,,,,-174.53,49771.25,
12/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,174.53,49771.25,
12/31/2024,"YOU SOLD OPENING TRANSACTION PUT (META) META PLATFORMS INC JAN 16 26 $400 (100 SHS) (Margin)", -META260116P400,"PUT (META) META PLATFORMS INC JAN 16 26 $400 (100 SHS)",Margin,14.1,-1,0.65,0.06,,1409.29,49596.72,01/02/2025
12/31/2024,"YOU SOLD OPENING TRANSACTION PUT (AMZN) AMAZON.COM INC JAN 16 26 $170 (100 SHS) (Margin)", -AMZN260116P170,"PUT (AMZN) AMAZON.COM INC JAN 16 26 $170 (100 SHS)",Margin,7.45,-1,0.65,0.05,,744.3,48187.43,01/02/2025
12/27/2024,"DIVIDEND RECEIVED NVIDIA CORPORATION COM (NVDA) (Margin)",NVDA,"NVIDIA CORPORATION COM",Margin,,0.000,,,,3,47443.13,
12/27/2024,"YOU BOUGHT CLOSING TRANSACTION PUT (TQQQ) PROSHARES ULTRAPRO DEC 27 24 $85 (100 SHS) (Margin)", -TQQQ241227P85,"PUT (TQQQ) PROSHARES ULTRAPRO DEC 27 24 $85 (100 SHS)",Margin,0.41,1,,0.02,,-41.02,47440.13,12/30/2024
12/27/2024,"YOU SOLD OPENING TRANSACTION PUT (TQQQ) PROSHARES ULTRAPRO DEC 27 24 $85 (100 SHS) (Margin)", -TQQQ241227P85,"PUT (TQQQ) PROSHARES ULTRAPRO DEC 27 24 $85 (100 SHS)",Margin,0.54,-1,0.65,0.02,,53.33,47481.15,12/30/2024
12/27/2024,"YOU BOUGHT CLOSING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 21 25 $150 (100 SHS) (Margin)", -NVDA250221C150,"CALL (NVDA) NVIDIA CORPORATION FEB 21 25 $150 (100 SHS)",Margin,4.73,3,1.95,0.06,,-1421.01,47427.82,12/30/2024
12/27/2024,"YOU SOLD OPENING TRANSACTION PUT (NVDA) NVIDIA CORPORATION JAN 16 26 $95 (100 SHS) (Margin)", -NVDA260116P95,"PUT (NVDA) NVIDIA CORPORATION JAN 16 26 $95 (100 SHS)",Margin,7.3,-1,0.65,0.05,,729.3,48848.83,12/30/2024
12/27/2024,"YOU BOUGHT CLOSING TRANSACTION CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS) (Margin)", -TQQQ250117C90,"CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS)",Margin,1.51,1,0.65,0.02,,-151.67,48119.53,12/30/2024
12/23/2024,"EXPIRED CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 as of Dec-20-2024 CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 (100 SHS) (Margin)", -NVDA241220C136,"CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 (100 SHS)",Margin,,3,,,,0.00,48271.20,
12/23/2024,"EXPIRED PUT (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $78 as of Dec-20-2024 PUT (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $78 (100 SHS) (Margin)", -TQQQ241220P78,"PUT (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $78 (100 SHS)",Margin,,2,,,,0.00,48271.20,
12/23/2024,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION FEB 21 25 $150 (100 SHS) (Margin)", -NVDA250221C150,"CALL (NVDA) NVIDIA CORPORATION FEB 21 25 $150 (100 SHS)",Margin,6.05,-3,1.95,0.12,,1812.93,48271.20,12/24/2024
12/23/2024,"YOU BOUGHT CLOSING TRANSACTION PUT (UBER) UBER TECHNOLOGIES JAN 16 26 $60 (100 SHS) (Margin)", -UBER260116P60,"PUT (UBER) UBER TECHNOLOGIES JAN 16 26 $60 (100 SHS)",Margin,8,1,0.65,0.02,,-800.67,46458.27,12/24/2024
12/20/2024,"YOU SOLD OPENING TRANSACTION CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 (100 SHS) (Margin)", -NVDA241220C136,"CALL (NVDA) NVIDIA CORPORATION DEC 20 24 $136 (100 SHS)",Margin,0.14,-3,1.95,0.06,,39.99,47258.94,12/23/2024
12/20/2024,"YOU BOUGHT CLOSING TRANSACTION CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS) (Margin)", -TQQQ241220C85,"CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS)",Margin,0.96,1,0.65,0.02,,-96.67,47218.95,12/23/2024
12/20/2024,"YOU SOLD OPENING TRANSACTION CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS) (Margin)", -TQQQ241220C85,"CALL (TQQQ) PROSHARES ULTRAPRO DEC 20 24 $85 (100 SHS)",Margin,0.26,-1,0.65,0.02,,25.33,47315.62,12/23/2024
12/20/2024,"YOU SOLD OPENING TRANSACTION CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS) (Margin)", -TQQQ250117C90,"CALL (TQQQ) PROSHARES ULTRAPRO JAN 17 25 $90 (100 SHS)",Margin,2.85,-1,0.65,0.02,,284.33,47290.29,12/23/2024
12/20/2024,"YOU BOUGHT CLOSING TRANSACTION PUT (META) META PLATFORMS INC JAN 16 26 $440 (100 SHS) (Margin)", -META260116P440,"PUT (META) META PLATFORMS INC JAN 16 26 $440 (100 SHS)",Margin,21.1,2,1.3,0.04,,-4221.34,47005.96,12/23/2024
