Symbol(CUSIP),Security Description,Date Acquired,Date Sold,Quantity,Cost Basis,Proceeds,Short Term Gain/Loss,Long Term Gain/Loss
AAPL240503P182.5(7128089JF),PUT (AAPL) APPLE INC MAY 03 24 $182.5 (100 SHS),2024-05-03,2024-05-03,1,$4.03,$45.32,$41.29, --,
AMZN240712P195(7219679MK),PUT (AMZN) AMAZON.COM INC JUL 12 24 $195 (100 SHS),2024-07-09,2024-07-08,1,$54.03,$85.32,$31.29, --,
AMZN240816P180(7003859RL),PUT (AMZN) AMAZON.COM INC AUG 16 24 $180 (100 SHS),2024-07-15,2024-07-15,1,$350.68,$364.30,$13.62, --,
AMZN250620P160(6373689UQ),PUT (AMZN) AMAZON.COM INC JUN 20 25 $160 (100 SHS),2024-06-04,2024-05-30,1,"$1,070.68","$1,074.29",$3.61, --,
AMZN250620P160(6373689UQ),PUT (AMZN) AMAZON.COM INC JUN 20 25 $160 (100 SHS),2024-06-04,2024-05-31,1,"$1,070.67","$1,174.28",$103.61, --,
AMZN250919P160(6818149AW),PUT (AMZN) AMAZON.COM INC SEP 19 25 $160 (100 SHS),2024-06-26,2024-06-24,1,$915.68,"$1,079.28",$163.60, --,
CRM(79466L302),SALESFORCE INC COM,2024-05-29,2024-05-31,5,"$1,155.05","$1,165.01",$9.96, --,
GOOGL250117P170(6135909NJ),PUT (GOOGL) ALPHABET INC CAP STKJAN 17 25 $170 (100 SHS),2024-11-06,2024-10-30,1,$413.68,$435.30,$21.62, --,
GOOGL250221P160(7336149PN),PUT (GOOGL) ALPHABET INC CAP STKFEB 21 25 $160 (100 SHS),2024-11-25,2024-11-21,1,$485.67,$569.30,$83.63, --,
GOOGL250221P160(7336149PN),PUT (GOOGL) ALPHABET INC CAP STKFEB 21 25 $160 (100 SHS),2024-11-25,2024-11-21,1,$485.68,$664.30,$178.62, --,
GOOGL260116P150(6735349FB),PUT (GOOGL) ALPHABET INC CAP STKJAN 16 26 $150 (100 SHS),2024-12-10,2024-12-05,1,$645.67,$839.30,$193.63, --,
META250620P430(6488859KI),PUT (META) META PLATFORMS INC JUN 20 25 $430 (100 SHS),2024-07-09,2024-07-08,1,"$2,525.68","$2,629.24",$103.56, --,
META250620P450(6515759MG),PUT (META) META PLATFORMS INC JUN 20 25 $450 (100 SHS),2024-10-28,2024-10-23,1,"$1,670.68","$1,924.26",$253.58, --,
META250620P450(6515759MG),PUT (META) META PLATFORMS INC JUN 20 25 $450 (100 SHS),2024-06-14,2024-06-13,1,"$3,875.68","$3,979.20",$103.52, --,
META250620P450(6515759MG),PUT (META) META PLATFORMS INC JUN 20 25 $450 (100 SHS),2024-06-03,2024-05-29,1,"$4,625.68","$4,719.18",$93.50, --,
META251219P430(6488859EA),PUT (META) META PLATFORMS INC DEC 19 25 $430 (100 SHS),2024-11-26,2024-11-14,1,"$1,835.67","$1,959.26",$123.59, --,
META251219P430(6488859EA),PUT (META) META PLATFORMS INC DEC 19 25 $430 (100 SHS),2024-11-26,2024-11-21,1,"$1,835.68","$2,374.25",$538.57, --,
META251219P430(6488859EA),PUT (META) META PLATFORMS INC DEC 19 25 $430 (100 SHS),2024-11-06,2024-10-30,1,"$2,140.68","$2,179.25",$38.57, --,
META260116P440(6736409CW),PUT (META) META PLATFORMS INC JAN 16 26 $440 (100 SHS),2024-12-20,2024-12-19,1,"$2,110.67","$2,134.27",$23.60, --,
META260116P440(6736409CW),PUT (META) META PLATFORMS INC JAN 16 26 $440 (100 SHS),2024-12-20,2024-12-19,1,"$2,110.67","$2,214.26",$103.59, --,
NVDA(67066G104),NVIDIA CORPORATION COM,2024-07-19,2024-10-11,300,"$38,407.05","$39,359.87",$952.82, --,
NVDA240614C128(7246039CY),CALL (NVDA) NVIDIA CORPORATION JUN 14 24 $128 (100 SHS),2024-06-13,2024-06-12,3,$419.03,$420.95,$1.92, --,
NVDA240614C131(7246069WW),CALL (NVDA) NVIDIA CORPORATION JUN 14 24 $131 (100 SHS),2024-06-14,2024-06-13,3,$284.03,$180.97, -$103.06, --,
NVDA240621C133(7246079MI),CALL (NVDA) NVIDIA CORPORATION JUN 21 24 $133 (100 SHS),2024-06-21,2024-06-21,3,$39.08,$48.97,$9.89, --,
NVDA240621C135(7240759QO),CALL (NVDA) NVIDIA CORPORATION JUN 21 24 $135 (100 SHS),2024-06-17,2024-06-14,3,$380.03,$555.95,$175.92, --,
NVDA240621C136(7240759KE),CALL (NVDA) NVIDIA CORPORATION JUN 21 24 $136 (100 SHS),2024-06-20,2024-06-17,3,$272.03,$282.97,$10.94, --,
